x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-7.211981566820071521e-01,-5.199251152073734517e+01,6.103831100576053714e-01
2.788018433179928479e-01,-5.199251152073734517e+01,6.101582576749113862e-01
-1.372119815668200715e+01,-5.099251152073734517e+01,6.064578136863856272e-01
-1.272119815668200715e+01,-5.099251152073734517e+01,6.073895545634280246e-01
-1.172119815668200715e+01,-5.099251152073734517e+01,6.084718949899405871e-01
-1.072119815668200715e+01,-5.099251152073734517e+01,6.080973007427581400e-01
-9.721198156682007152e+00,-5.099251152073734517e+01,6.095504428782057005e-01
-8.721198156682007152e+00,-5.099251152073734517e+01,6.097048092897248139e-01
-7.721198156682007152e+00,-5.099251152073734517e+01,6.103572944205075679e-01
-6.721198156682007152e+00,-5.099251152073734517e+01,6.096845199375593438e-01
-5.721198156682007152e+00,-5.099251152073734517e+01,6.091145952328873570e-01
-4.721198156682007152e+00,-5.099251152073734517e+01,6.108449469843484358e-01
-3.721198156682007152e+00,-5.099251152073734517e+01,6.098919585284039435e-01
-2.721198156682007152e+00,-5.099251152073734517e+01,6.095385133627977403e-01
-1.721198156682007152e+00,-5.099251152073734517e+01,6.098742310016200818e-01
-7.211981566820071521e-01,-5.099251152073734517e+01,6.095353621999906046e-01
2.788018433179928479e-01,-5.099251152073734517e+01,6.093543103001946015e-01
1.278801843317992848e+00,-5.099251152073734517e+01,6.096332960143833191e-01
2.278801843317992848e+00,-5.099251152073734517e+01,6.102509006050502727e-01
3.278801843317992848e+00,-5.099251152073734517e+01,6.108499024870557292e-01
4.278801843317992848e+00,-5.099251152073734517e+01,6.111149881059620981e-01
5.278801843317992848e+00,-5.099251152073734517e+01,6.113694337375688015e-01
6.278801843317992848e+00,-5.099251152073734517e+01,6.115489538189202712e-01
7.278801843317992848e+00,-5.099251152073734517e+01,6.116132852113547180e-01
8.278801843317992848e+00,-5.099251152073734517e+01,6.118606005862510244e-01
9.278801843317992848e+00,-5.099251152073734517e+01,6.119899388968654819e-01
1.027880184331799285e+01,-5.099251152073734517e+01,6.118955086392370291e-01
1.127880184331799285e+01,-5.099251152073734517e+01,6.113398064257928866e-01
1.227880184331799285e+01,-5.099251152073734517e+01,6.108188368530766965e-01
1.327880184331799285e+01,-5.099251152073734517e+01,6.104143221807811770e-01
-1.872119815668200715e+01,-4.999251152073734517e+01,6.102098287319801528e-01
-1.772119815668200715e+01,-4.999251152073734517e+01,6.090872744640125624e-01
-1.672119815668200715e+01,-4.999251152073734517e+01,6.084652654882729550e-01
-1.572119815668200715e+01,-4.999251152073734517e+01,6.088483605506205265e-01
-1.472119815668200715e+01,-4.999251152073734517e+01,6.075730527549030313e-01
-1.372119815668200715e+01,-4.999251152073734517e+01,6.082639556933839842e-01
-1.272119815668200715e+01,-4.999251152073734517e+01,6.081961500029922085e-01
-1.172119815668200715e+01,-4.999251152073734517e+01,6.085064365492676153e-01
