x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-7.211981566820071521e-01,-5.199251152073734517e+01,4.717913414440784159e-01
2.788018433179928479e-01,-5.199251152073734517e+01,4.675535737294955752e-01
-1.372119815668200715e+01,-5.099251152073734517e+01,4.706880050162500773e-01
-1.272119815668200715e+01,-5.099251152073734517e+01,4.728293293335426029e-01
-1.172119815668200715e+01,-5.099251152073734517e+01,4.716481643456580386e-01
-1.072119815668200715e+01,-5.099251152073734517e+01,4.697139834013865922e-01
-9.721198156682007152e+00,-5.099251152073734517e+01,4.708740655305594380e-01
-8.721198156682007152e+00,-5.099251152073734517e+01,4.708388056039418679e-01
-7.721198156682007152e+00,-5.099251152073734517e+01,4.694747308801185959e-01
-6.721198156682007152e+00,-5.099251152073734517e+01,4.693502297705194337e-01
-5.721198156682007152e+00,-5.099251152073734517e+01,4.710861087170670203e-01
-4.721198156682007152e+00,-5.099251152073734517e+01,4.713736450850927184e-01
-3.721198156682007152e+00,-5.099251152073734517e+01,4.718995167450614758e-01
-2.721198156682007152e+00,-5.099251152073734517e+01,4.718817556362893129e-01
-1.721198156682007152e+00,-5.099251152073734517e+01,4.707245550990935001e-01
-7.211981566820071521e-01,-5.099251152073734517e+01,4.697924396582733308e-01
2.788018433179928479e-01,-5.099251152073734517e+01,4.700872700424794104e-01
1.278801843317992848e+00,-5.099251152073734517e+01,4.682232855550969575e-01
2.278801843317992848e+00,-5.099251152073734517e+01,4.667586233931131368e-01
3.278801843317992848e+00,-5.099251152073734517e+01,4.657328133301272821e-01
4.278801843317992848e+00,-5.099251152073734517e+01,4.655982011955401845e-01
5.278801843317992848e+00,-5.099251152073734517e+01,4.642607544933530228e-01
6.278801843317992848e+00,-5.099251152073734517e+01,4.634561410352402433e-01
7.278801843317992848e+00,-5.099251152073734517e+01,4.645801318912674560e-01
8.278801843317992848e+00,-5.099251152073734517e+01,4.633586847256081498e-01
9.278801843317992848e+00,-5.099251152073734517e+01,4.638377185354767285e-01
1.027880184331799285e+01,-5.099251152073734517e+01,4.652200902222300982e-01
1.127880184331799285e+01,-5.099251152073734517e+01,4.640659840175787032e-01
1.227880184331799285e+01,-5.099251152073734517e+01,4.637785939585223893e-01
1.327880184331799285e+01,-5.099251152073734517e+01,4.611082714134138172e-01
-1.872119815668200715e+01,-4.999251152073734517e+01,4.719152916872371151e-01
-1.772119815668200715e+01,-4.999251152073734517e+01,4.732366883896372833e-01
-1.672119815668200715e+01,-4.999251152073734517e+01,4.723294744694150893e-01
-1.572119815668200715e+01,-4.999251152073734517e+01,4.715995377021098278e-01
-1.472119815668200715e+01,-4.999251152073734517e+01,4.740660300742560729e-01
-1.372119815668200715e+01,-4.999251152073734517e+01,4.721517057218540536e-01
-1.272119815668200715e+01,-4.999251152073734517e+01,4.706203546661136272e-01
-1.172119815668200715e+01,-4.999251152073734517e+01,4.700061518619129686e-01
-1.072119815668200715e+01,-4.999251152073734517e+01,4.702662163599260481e-01
-9.721198156682007152e+00,-4.999251152073734517e+01,4.690624511375856009e-01
-8.721198156682007152e+00,-4.999251152073734517e+01,4.689184178829730598e-01
-7.721198156682007152e+00,-4.999251152073734517e+01,4.709124153956283365e-01
-6.721198156682007152e+00,-4.999251152073734517e+01,4.698726581646921474e-01
-5.721198156682007152e+00,-4.999251152073734517e+01,4.719883696579318944e-01
-4.721198156682007152e+00,-4.999251152073734517e+01,4.714767013224689940e-01
-3.721198156682007152e+00,-4.999251152073734517e+01,4.721434069030707725e-01
-2.721198156682007152e+00,-4.999251152073734517e+01,4.726881888271856624e-01
-1.721198156682007152e+00,-4.999251152073734517e+01,4.707676894017085445e-01
-7.211981566820071521e-01,-4.999251152073734517e+01,4.702275838112122130e-01
2.788018433179928479e-01,-4.999251152073734517e+01,4.694673688969497327e-01
1.278801843317992848e+00,-4.999251152073734517e+01,4.683091251305384617e-01
2.278801843317992848e+00,-4.999251152073734517e+01,4.652798515510059296e-01
3.278801843317992848e+00,-4.999251152073734517e+01,4.657619923022702224e-01
4.278801843317992848e+00,-4.999251152073734517e+01,4.654617500858626578e-01
5.278801843317992848e+00,-4.999251152073734517e+01,4.657465215472491593e-01
6.278801843317992848e+00,-4.999251152073734517e+01,4.635387858349253598e-01
7.278801843317992848e+00,-4.999251152073734517e+01,4.631009260153491347e-01
