x_um_centered_to_ellipse,y_um_centered_to_ellipse,delta_f_GHz
-7.211981566820071521e-01,-5.199251152073734517e+01,4.585262646452488156e-01
2.788018433179928479e-01,-5.199251152073734517e+01,4.577644039814523502e-01
-1.372119815668200715e+01,-5.099251152073734517e+01,4.578339425923689809e-01
-1.272119815668200715e+01,-5.099251152073734517e+01,4.572160436462899824e-01
-1.172119815668200715e+01,-5.099251152073734517e+01,4.567041547628027942e-01
-1.072119815668200715e+01,-5.099251152073734517e+01,4.573102557658783596e-01
-9.721198156682007152e+00,-5.099251152073734517e+01,4.561139505552600504e-01
-8.721198156682007152e+00,-5.099251152073734517e+01,4.573975824880136543e-01
-7.721198156682007152e+00,-5.099251152073734517e+01,4.589021323330508828e-01
-6.721198156682007152e+00,-5.099251152073734517e+01,4.576618586606993055e-01
-5.721198156682007152e+00,-5.099251152073734517e+01,4.581151000293965936e-01
-4.721198156682007152e+00,-5.099251152073734517e+01,4.588471575327628393e-01
-3.721198156682007152e+00,-5.099251152073734517e+01,4.590135578125851268e-01
-2.721198156682007152e+00,-5.099251152073734517e+01,4.591133021281668114e-01
-1.721198156682007152e+00,-5.099251152073734517e+01,4.588616457713028396e-01
-7.211981566820071521e-01,-5.099251152073734517e+01,4.590162880626298403e-01
2.788018433179928479e-01,-5.099251152073734517e+01,4.576568177470798915e-01
1.278801843317992848e+00,-5.099251152073734517e+01,4.566595671021613789e-01
2.278801843317992848e+00,-5.099251152073734517e+01,4.557133988078874154e-01
3.278801843317992848e+00,-5.099251152073734517e+01,4.553100630537159077e-01
4.278801843317992848e+00,-5.099251152073734517e+01,4.544977658347932881e-01
5.278801843317992848e+00,-5.099251152073734517e+01,4.537065791667713732e-01
6.278801843317992848e+00,-5.099251152073734517e+01,4.529628564180017136e-01
7.278801843317992848e+00,-5.099251152073734517e+01,4.527322121801948818e-01
8.278801843317992848e+00,-5.099251152073734517e+01,4.520016098798222970e-01
9.278801843317992848e+00,-5.099251152073734517e+01,4.513137505915336689e-01
1.027880184331799285e+01,-5.099251152073734517e+01,4.505243712318893756e-01
1.127880184331799285e+01,-5.099251152073734517e+01,4.497570777061601355e-01
1.227880184331799285e+01,-5.099251152073734517e+01,4.493950222936624606e-01
1.327880184331799285e+01,-5.099251152073734517e+01,4.491279950934981002e-01
-1.872119815668200715e+01,-4.999251152073734517e+01,4.567497935347168969e-01
-1.772119815668200715e+01,-4.999251152073734517e+01,4.556025228735300914e-01
-1.672119815668200715e+01,-4.999251152073734517e+01,4.569950770555313291e-01
-1.572119815668200715e+01,-4.999251152073734517e+01,4.573733456262618624e-01
-1.472119815668200715e+01,-4.999251152073734517e+01,4.581254380480999089e-01
-1.372119815668200715e+01,-4.999251152073734517e+01,4.583322080370009211e-01
-1.272119815668200715e+01,-4.999251152073734517e+01,4.571443700313713165e-01
-1.172119815668200715e+01,-4.999251152073734517e+01,4.563704620302075909e-01
-1.072119815668200715e+01,-4.999251152073734517e+01,4.560026509072803158e-01
-9.721198156682007152e+00,-4.999251152073734517e+01,4.566254883278149101e-01
-8.721198156682007152e+00,-4.999251152073734517e+01,4.575750946523782225e-01
-7.721198156682007152e+00,-4.999251152073734517e+01,4.578140842855993320e-01
-6.721198156682007152e+00,-4.999251152073734517e+01,4.576389076383633459e-01
-5.721198156682007152e+00,-4.999251152073734517e+01,4.583222849684238653e-01
-4.721198156682007152e+00,-4.999251152073734517e+01,4.584543508151806002e-01
-3.721198156682007152e+00,-4.999251152073734517e+01,4.589270624373011920e-01
-2.721198156682007152e+00,-4.999251152073734517e+01,4.591979309187728120e-01
-1.721198156682007152e+00,-4.999251152073734517e+01,4.589202811398824799e-01
-7.211981566820071521e-01,-4.999251152073734517e+01,4.590334218836957803e-01
2.788018433179928479e-01,-4.999251152073734517e+01,4.579108791544150847e-01
1.278801843317992848e+00,-4.999251152073734517e+01,4.570305196278678928e-01
2.278801843317992848e+00,-4.999251152073734517e+01,4.557790236217802438e-01
3.278801843317992848e+00,-4.999251152073734517e+01,4.553959323809495530e-01
4.278801843317992848e+00,-4.999251152073734517e+01,4.541233515225790995e-01
5.278801843317992848e+00,-4.999251152073734517e+01,4.538337375853433997e-01
6.278801843317992848e+00,-4.999251152073734517e+01,4.536495947257348504e-01
7.278801843317992848e+00,-4.999251152073734517e+01,4.522776694907078010e-01
8.278801843317992848e+00,-4.999251152073734517e+01,4.514019526568757712e-01
9.278801843317992848e+00,-4.999251152073734517e+01,4.509188305758624615e-01
1.027880184331799285e+01,-4.999251152073734517e+01,4.499987111958767549e-01
1.127880184331799285e+01,-4.999251152073734517e+01,4.483648028326800983e-01
1.227880184331799285e+01,-4.999251152073734517e+01,4.487268542561864137e-01
1.327880184331799285e+01,-4.999251152073734517e+01,4.487913810714805329e-01
1.427880184331799285e+01,-4.999251152073734517e+01,4.479776903270469290e-01
1.527880184331799285e+01,-4.999251152073734517e+01,4.466900764927124179e-01
1.627880184331799285e+01,-4.999251152073734517e+01,4.462276665208766424e-01
1.727880184331799285e+01,-4.999251152073734517e+01,4.441592336608137792e-01
1.827880184331799285e+01,-4.999251152073734517e+01,4.429483017290234415e-01
1.927880184331799285e+01,-4.999251152073734517e+01,4.422929406211473236e-01
-2.372119815668200715e+01,-4.899251152073734517e+01,4.630861122097620353e-01
-2.272119815668200715e+01,-4.899251152073734517e+01,4.620587965236566674e-01
-2.172119815668200715e+01,-4.899251152073734517e+01,4.604935037720316870e-01
-2.072119815668200715e+01,-4.899251152073734517e+01,4.594570974275185016e-01
-1.972119815668200715e+01,-4.899251152073734517e+01,4.585990557899339848e-01
-1.872119815668200715e+01,-4.899251152073734517e+01,4.566657459433369759e-01
-1.772119815668200715e+01,-4.899251152073734517e+01,4.563748156816052060e-01
-1.672119815668200715e+01,-4.899251152073734517e+01,4.571035899850830475e-01
-1.572119815668200715e+01,-4.899251152073734517e+01,4.581355405403102488e-01
-1.472119815668200715e+01,-4.899251152073734517e+01,4.585109288515720749e-01
-1.372119815668200715e+01,-4.899251152073734517e+01,4.580530047948441208e-01
-1.272119815668200715e+01,-4.899251152073734517e+01,4.568781068500480380e-01
-1.172119815668200715e+01,-4.899251152073734517e+01,4.565638875403337238e-01
-1.072119815668200715e+01,-4.899251152073734517e+01,4.562468086395359279e-01
-9.721198156682007152e+00,-4.899251152073734517e+01,4.564614322205513552e-01
-8.721198156682007152e+00,-4.899251152073734517e+01,4.575113281414933120e-01
-7.721198156682007152e+00,-4.899251152073734517e+01,4.578789403291017024e-01
-6.721198156682007152e+00,-4.899251152073734517e+01,4.580910242930893439e-01
-5.721198156682007152e+00,-4.899251152073734517e+01,4.581142297823266318e-01
-4.721198156682007152e+00,-4.899251152073734517e+01,4.583887813617533169e-01
-3.721198156682007152e+00,-4.899251152073734517e+01,4.592025535192809649e-01
-2.721198156682007152e+00,-4.899251152073734517e+01,4.599645943915353641e-01
-1.721198156682007152e+00,-4.899251152073734517e+01,4.594804278143258536e-01
-7.211981566820071521e-01,-4.899251152073734517e+01,4.592868728586454452e-01
2.788018433179928479e-01,-4.899251152073734517e+01,4.580445593865896114e-01
1.278801843317992848e+00,-4.899251152073734517e+01,4.568156799416622782e-01
2.278801843317992848e+00,-4.899251152073734517e+01,4.558703849322798263e-01
3.278801843317992848e+00,-4.899251152073734517e+01,4.551653756253197791e-01
4.278801843317992848e+00,-4.899251152073734517e+01,4.543661496261925947e-01
5.278801843317992848e+00,-4.899251152073734517e+01,4.534167706479608206e-01
6.278801843317992848e+00,-4.899251152073734517e+01,4.528421617066515914e-01
7.278801843317992848e+00,-4.899251152073734517e+01,4.520070717854354214e-01
8.278801843317992848e+00,-4.899251152073734517e+01,4.520277634917206910e-01
9.278801843317992848e+00,-4.899251152073734517e+01,4.507174679069030354e-01
1.027880184331799285e+01,-4.899251152073734517e+01,4.495890972189338086e-01
1.127880184331799285e+01,-4.899251152073734517e+01,4.486554746570141639e-01
1.227880184331799285e+01,-4.899251152073734517e+01,4.488086417408627682e-01
1.327880184331799285e+01,-4.899251152073734517e+01,4.479007320076497933e-01
1.427880184331799285e+01,-4.899251152073734517e+01,4.477983145083954675e-01
1.527880184331799285e+01,-4.899251152073734517e+01,4.465151675606087167e-01
1.627880184331799285e+01,-4.899251152073734517e+01,4.454753113865925762e-01
1.727880184331799285e+01,-4.899251152073734517e+01,4.442604647623182856e-01
1.827880184331799285e+01,-4.899251152073734517e+01,4.433030057678566394e-01
1.927880184331799285e+01,-4.899251152073734517e+01,4.419449227693803550e-01
2.027880184331799285e+01,-4.899251152073734517e+01,4.417631330902027642e-01
2.127880184331799285e+01,-4.899251152073734517e+01,4.406693464746989086e-01
2.227880184331799285e+01,-4.899251152073734517e+01,4.394891414892794224e-01
2.327880184331799285e+01,-4.899251152073734517e+01,4.390051775490544372e-01
-2.672119815668200715e+01,-4.799251152073734517e+01,4.643237469612988555e-01
-2.572119815668200715e+01,-4.799251152073734517e+01,4.635188782125885254e-01
-2.472119815668200715e+01,-4.799251152073734517e+01,4.628910297435311350e-01
-2.372119815668200715e+01,-4.799251152073734517e+01,4.627848603057911347e-01
-2.272119815668200715e+01,-4.799251152073734517e+01,4.622054166002387277e-01
-2.172119815668200715e+01,-4.799251152073734517e+01,4.611423125007081403e-01
-2.072119815668200715e+01,-4.799251152073734517e+01,4.607031672633215003e-01
-1.972119815668200715e+01,-4.799251152073734517e+01,4.590707402256057890e-01
